00:00 page 2
00:00 cursor 205 240
00:03 cursor 443 240
00:06 cursor 622 240
00:09 cursor 808 240
00:12 cursor 990 240
00:15 cursor 205 745
00:18 cursor 420 745
00:21 cursor 600 745
00:24 cursor 795 745
00:27 cursor 984 745
00:30 cursor 205 1270
00:33 cursor 425 1270
00:36 cursor 615 1270
00:39 cursor 800 1270
00:42 cursor 980 1270
00:43 turn
00:45 cursor 200 225
00:48 cursor 420 225
00:51 cursor 610 225
00:54 cursor 790 225
00:57 cursor 1000 225
01:00 cursor 207 750
01:03 cursor 500 750
01:06 cursor 665 750
01:09 cursor 830 750
01:12 cursor 1000 750
01:15 cursor 207 1270
01:18 cursor 425 1270
01:21 cursor 610 1270
01:24 cursor 800 1270
01:27 cursor 980 1270
01:27 turn
01:30 cursor 220 230
01:33 cursor 445 230
01:36 cursor 625 230
01:39 cursor 804 230
01:42 cursor 990 230
01:45 cursor 225 750
01:48 cursor 445 750
01:51 cursor 610 750
01:54 cursor 809 750
01:57 cursor 990 750
02:00 cursor 225 1270
02:03 cursor 445 1270
02:06 cursor 630 1270
02:09 cursor 810 1270
02:12 cursor 985 1270
02:15 turn
02:15 cursor 230 230
02:18 cursor 450 230
02:21 cursor 634 230
02:24 cursor 820 230
02:27 cursor 1000 230
02:29 cursor 225 750
02:32 cursor 450 750
02:35 cursor 630 750
02:38 cursor 804 750
02:41 cursor 980 750
02:44 cursor 230 1270
02:47 cursor 455 1270
02:50 cursor 630 1270
02:53 cursor 805 1270
02:56 cursor 990 1270
02:59 turn
02:59 cursor 225 230
03:02 cursor 445 230
03:05 cursor 625 230
03:08 cursor 810 230
03:11 cursor 990 230
03:14 cursor 225 750
03:17 cursor 440 750
03:20 cursor 625 750
03:23 cursor 805 750
03:26 cursor 990 750
03:29 cursor 230 1270
03:32 cursor 440 1270
03:35 cursor 620 1270
03:38 cursor 805 1270
03:41 cursor 1000 1270
03:42 turn
03:44 cursor 230 230
03:47 cursor 440 230
03:50 cursor 620 230
03:53 cursor 810 230
03:56 cursor 990 230
03:59 cursor 225 750
04:02 cursor 440 750
04:05 cursor 620 750
04:08 cursor 815 750
04:11 cursor 990 750
04:14 cursor 225 1270
04:17 cursor 450 1270
04:20 cursor 620 1270
04:23 cursor 805 1270
04:26 cursor 990 1270
04:29 turn
04:29 cursor 225 245
04:32 cursor 440 245
04:35 cursor 610 245
04:38 cursor 790 245
04:41 cursor 970 245
04:44 cursor 230 750
04:47 cursor 450 750
04:50 cursor 630 750
04:53 cursor 800 750
04:56 cursor 975 750
04:59 cursor 205 1270
05:02 cursor 440 1270
05:05 cursor 625 1270
05:08 cursor 805 1270
05:11 cursor 990 1270
05:12 turn
05:14 cursor 205 245
05:17 cursor 425 245
05:20 cursor 610 245
05:23 cursor 800 245
05:26 cursor 980 245
05:29 cursor 205 750
05:32 cursor 425 750
05:35 cursor 615 750
05:38 cursor 800 750
05:41 cursor 990 750
05:44 cursor 205 1270
05:47 cursor 425 1270
05:50 cursor 610 1270
05:53 cursor 800 1270
05:56 cursor 990 1270
06:23 cursor 1160 1270

